,Rank,Frequency,Rank X Frequency
등,1,13277,13277
수,2,11109,22218
것,3,10745,32235
일,4,8106,32424
기술,5,7782,38910
년,6,7442,44652
서비스,7,5047,35329
원,8,4965,39720
사업,9,4665,41985
월,10,4640,46400
시장,11,4552,50072
제품,12,4442,53304
기업,13,4134,53742
미국,14,3877,54278
사용,15,3690,55350
개발,16,3652,58432
삼성전자,17,3564,60588
말,18,3521,63378
전자,19,3372,64068
세계,20,3342,66840
제공,21,3313,69573
기자,22,3275,72050
산업,23,3189,73347
정보,24,3135,75240
게임,25,3009,75225
중,26,2904,75504
지난해,27,2841,76707
차,28,2773,77644
올해,29,2714,78706
가능,30,2627,78810
스마트,31,2610,80910
기능,32,2556,81792
지원,33,2529,83457
개,34,2524,85816
연구,35,2486,87010
대표,36,2456,88416
시간,37,2442,90354
미래,38,2407,91466
통신,39,2353,91767
주행,40,2323,92920
데이터,41,2317,94997
계획,42,2294,96348
스마트폰,43,2290,98470
혁신,44,2279,100276
출시,45,2270,102150
업체,46,2254,103684
국내,47,2161,101567
공개,48,2143,102864
자율,49,2117,103733
라스베이거스,50,2087,104350
글로벌,51,2024,103224
앱,52,2023,105196
명,53,2017,106901
로봇,54,1992,107568
이번,55,1982,109010
한국,56,1973,110488
기반,57,1973,112461
분야,58,1962,113796
모바일,59,1960,115640
최대,60,1882,112920
적용,61,1840,112240
시스템,62,1818,112716
기존,63,1814,114282
예정,64,1790,114560
인공지능,65,1784,115960
위,66,1776,117216
회장,67,1773,118791
성장,68,1751,119068
투자,69,1736,119784
가전,70,1734,121380
현지,71,1718,121978
자동차,72,1716,123552
고객,73,1713,125049
중국,74,1700,125800
대,75,1665,124875
활용,76,1663,126388
사진,77,1640,126280
강화,78,1640,127920
관련,79,1639,129481
센터,80,1626,130080
갤럭시,81,1624,131544
기기,82,1605,131610
사장,83,1598,132634
인터넷,84,1594,133896
이용,85,1562,132770
확대,86,1558,133988
삼성,87,1557,135459
전략,88,1544,135872
소비자,89,1496,133144
이상,90,1493,134370
탑재,91,1432,130312
필요,92,1423,130916
경제,93,1418,131874
진행,94,1415,133010
간,95,1400,133000
디스플레이,96,1399,134304
때문,97,1397,135509
콘텐츠,98,1395,136710
전망,99,1383,136917
뉴스,100,1381,138100
서울,101,1379,139279
정부,102,1348,137496
업계,103,1347,138741
방송,104,1337,139048
회사,105,1337,140385
부,106,1305,138330
발표,107,1304,139528
규모,108,1238,133704
시작,109,1233,134397
폼,110,1230,135300
관리,111,1224,135864
연결,112,1223,136976
구글,113,1221,137973
경우,114,1215,138510
인식,115,1211,139265
영상,116,1204,139664
분석,117,1202,140634
플랫,118,1200,141600
음성,119,1194,142086
설명,120,1189,142680
최근,121,1159,140239
때,122,1158,141276
강조,123,1142,140466
애플,124,1136,140864
과학,125,1131,141375
사람,126,1118,140868
차량,127,1115,141605
모델,128,1113,142464
추진,129,1108,142932
데,130,1103,143390
변화,131,1100,144100
부회장,132,1076,142032
솔루션,133,1066,141778
점,134,1050,140700
텔레콤,135,1034,139590
협력,136,1023,139128
홈,137,1023,140151
다양,138,1015,140070
관계자,139,1008,140112
금융,140,1007,140980
시,141,994,140154
전시회,142,983,139586
방식,143,981,140283
혁명,144,980,141120
온라인,145,980,142100
운영,146,971,141766
최고,147,963,141561
주요,148,960,142080
분기,149,946,140954
번,150,943,141450
구축,151,940,141940
환경,152,939,142728
보안,153,939,143667
수준,154,938,144452
개인,155,934,144770
확인,156,930,145080
경쟁,157,925,145225
마련,158,923,145834
국가,159,922,146598
개선,160,922,147520
추가,161,920,148120
화면,162,918,148716
디자인,163,910,148330
전,164,900,147600
내,165,898,148170
생산,166,897,148902
문제,167,895,149465
달러,168,889,149352
그룹,169,888,150072
기대,170,885,150450
예상,171,881,150651
확보,172,878,151016
기준,173,877,151721
이후,174,875,152250
이동,175,871,152425
사물,176,868,152768
클라우드,177,865,153105
결과,178,863,153614
대비,179,860,153940
매출,180,860,154800
디지털,181,852,154212
중심,182,850,154700
판매,183,846,154818
참여,184,839,154376
목표,185,826,152810
시대,186,825,153450
기관,187,825,154275
상황,188,825,155100
업무,189,823,155547
에너지,190,822,156180
노트,191,821,156811
구현,192,820,157440
전문,193,820,158260
창조,194,819,158886
지역,195,818,159510
사회,196,812,159152
장,197,803,158191
정책,198,801,158598
배터리,199,799,159001
해외,200,792,158400
앞,201,786,157986
평가,202,785,158570
새해,203,779,158137
기록,204,777,158508
후,205,777,159285
플러스,206,775,159650
국제,207,772,159804
카메라,208,771,160368
위원회,209,767,160303
증가,210,764,160440
부문,211,763,160993
폰,212,762,161544
트,213,762,162306
지능,214,759,162426
시리즈,215,758,162970
대상,216,755,163080
핵심,217,754,163618
황,218,754,164372
교수,219,750,164250
프리미엄,220,750,165000
도입,221,747,165087
최초,222,744,165168
영업,223,744,165912
지속,224,741,165984
추천,225,741,166725
소개,226,726,164076
연합뉴스,227,726,164802
한편,228,725,165300
일본,229,723,165567
포함,230,718,165140
가격,231,718,165858
조사,232,718,166576
네이버,233,714,166362
배,234,713,166842
유,235,703,165205
충전,236,701,165436
코리아,237,701,166137
과,238,699,166362
정도,239,694,165866
성능,240,691,165840
적극,241,688,165808
인치,242,684,165528
자체,243,683,165969
구성,244,680,165920
무선,245,679,166355
이용자,246,678,166788
안정,247,670,165490
카,248,667,165416
신규,249,666,165834
허브,250,663,165750
결합,251,659,165409
집중,252,659,166068
상품,253,658,166474
스타트업,254,657,166878
발전,255,656,167280
화질,256,654,167424
문화,257,651,167307
팀,258,648,167184
구조,259,648,167832
반도체,260,648,168480
이사,261,648,169128
가운데,262,646,169252
이날,263,644,169372
자동,264,641,169224
빅,265,640,169600
제작,266,638,169708
경험,267,637,170079
요금,268,637,170716
할인,269,635,170815
내용,270,634,171180
아마존,271,633,171543
성공,272,632,171904
인수,273,629,171717
인텔,274,627,171798
선택,275,626,172150
인증,276,626,172776
공동,277,624,172848
행사,278,621,172638
중요,279,621,173259
소프트웨어,280,621,173880
웨어,281,621,174501
소프트,282,620,174840
이벤트,283,619,175177
올레드,284,618,175512
색,285,617,175845
광고,286,615,175890
설치,287,613,175931
상태,288,613,176544
통합,289,611,176579
본격,290,610,176900
경쟁력,291,610,177510
구매,292,609,177828
아이,293,609,178437
주,294,607,178458
결제,295,607,179065
공급,296,607,179672
카카오,297,607,180279
성과,298,606,180588
미디어,299,603,180297
전체,300,603,180900
생활,301,603,181503
공식,302,602,181804
바,303,599,181497
요금제,304,596,181184
준비,305,593,180865
곳,306,590,180540
만,307,589,180823
대응,308,587,180796
조직,309,586,181074
위치,310,586,181660
가치,311,585,181935
분,312,584,182208
페이,313,584,182792
역할,314,583,183062
전기,315,582,183330
융합,316,580,183280
공간,317,578,183226
해,318,577,183486
속도,319,573,182787
차세대,320,570,182400
처음,321,570,182970
동안,322,570,183540
효율,323,569,183787
개막,324,567,183708
스토어,325,567,184275
전시,326,566,184516
시각,327,565,184755
본부,328,564,184992
게,329,564,185556
연임,330,564,186120
카드,331,559,185029
교육,332,556,184592
비전,333,556,185148
형,334,556,185704
발생,335,555,185925
제시,336,548,184128
주도,337,541,182317
제어,338,541,182858
이익,339,541,183399
단계,340,539,183260
역량,341,538,183458
냉장고,342,537,183654
네트워크,343,536,183848
관심,344,535,184040
생각,345,535,184575
육성,346,534,184764
프로그램,347,532,184604
경영,348,529,184092
영역,349,529,184621
넥,350,529,185150
실적,351,529,185679
이미지,352,528,185856
건,353,523,184619
기간,354,523,185142
자리,355,519,184245
공장,356,519,184764
쇼핑,357,518,184926
사,358,513,183654
실시간,359,513,184167
딥,360,513,184680
제도,361,512,184832
도,362,512,185344
프라임,363,512,185856
나노,364,512,186368
거래,365,512,186880
주목,366,511,187026
연구원,367,511,187537
만큼,368,511,188048
센서,369,508,187452
전문가,370,508,187960
부사장,371,508,188468
현장,372,507,188604
퀀텀,373,507,189111
효과,374,505,188870
초,375,500,187500
진출,376,499,187624
달,377,495,186615
선정,378,495,187110
자신,379,494,187226
안전,380,494,187720
